Date,Region,Cluster,Country,Segment,Sales Amount,Year,Month,Quarter,Is_Q4,Lag_1_Sales,RollingAvg_3M
2023-03-01,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.205889270095111,2023,3,1,0,4.718742967531681,4.601231654592702
2023-03-01,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.421186204321004,2023,3,1,0,5.205889270095111,5.115272813982598
2023-03-02,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,4.221180530194112,2023,3,1,0,5.421186204321004,4.949418668203408
2023-03-02,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.678563199158343,2023,3,1,0,4.221180530194112,4.773643311224486
2023-03-02,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.322911968460514,2023,3,1,0,4.678563199158343,4.740885232604323
2023-03-02,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.5574342648483155,2023,3,1,0,5.322911968460514,5.1863031441557235
2023-03-03,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.7228097174804673,2023,3,1,0,5.5574342648483155,4.8677186502630985
2023-03-03,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.56420443643783,2023,3,1,0,3.7228097174804673,4.6148161395888705
2023-03-03,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.981088150700401,2023,3,1,0,4.56420443643783,4.422700768206233
2023-03-03,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.080653763638471,2023,3,1,0,4.981088150700401,4.8753154502589
2023-03-05,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,3.13109954853973,2023,3,1,0,5.080653763638471,4.397613820959534
2023-03-06,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.6964732366783193,2023,3,1,0,3.13109954853973,3.9694088496188393
2023-03-06,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.4437355133423555,2023,3,1,0,3.6964732366783193,3.757102766186801
2023-03-06,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.460037712642964,2023,3,1,0,4.4437355133423555,4.200082154221213
2023-03-06,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.8716574093875735,2023,3,1,0,4.460037712642964,4.591810211790964
2023-03-07,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.8221630858732873,2023,3,1,0,4.8716574093875735,4.384619402634608
2023-03-07,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.5326080011854675,2023,3,1,0,3.8221630858732873,4.408809498815442
2023-03-07,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.954073136312826,2023,3,1,0,4.5326080011854675,4.436281407790527
2023-03-07,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.346448923872093,2023,3,1,0,4.954073136312826,4.944376687123461
2023-03-08,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.1285048269025513,2023,3,1,0,5.346448923872093,4.476342295695823
2023-03-08,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,3.672643030710292,2023,3,1,0,3.1285048269025513,4.049198927161645
2023-03-08,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.437801884524451,2023,3,1,0,3.672643030710292,3.7463165807124312
2023-03-09,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.6994585037274716,2023,3,1,0,4.437801884524451,3.936634472987404
2023-03-09,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.913540028807044,2023,3,1,0,3.6994585037274716,4.350266805686322
2023-03-09,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.372980403690151,2023,3,1,0,4.913540028807044,4.661992978741555
2023-03-09,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.411495594660361,2023,3,1,0,5.372980403690151,5.232672009052519
2023-03-10,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.6166400699143613,2023,3,1,0,5.411495594660361,4.800372022754957
2023-03-10,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.788806928822994,2023,3,1,0,3.6166400699143613,4.605647531132571
